jobid,id,panoid,date,lat,lon,svf,tvf,bvf
2024-01-08-09-38-39-920057,21,-bwiIqlm81-vjAy_fTN86g,2023-04,45.47768323725106,9.223945424866386,0.456945675855,0.333038993117,0.19496902463
2024-01-08-09-38-39-920057,44,-qL_GdvdvJbxWty_LqorFg,2023-04,45.47806035272643,9.234345266897678,0.489171215845,0.315638386428,0.165699648461
2024-01-08-09-38-39-920057,68,0d5J7hV2SOIApO2aTAuOiw,2023-04,45.47922937318359,9.227679338342545,0.349387161622,0.453509646512,0.184692928124
2024-01-08-09-38-39-920057,17,1aWkF9bGPNVQIb_FyopWcA,2023-04,45.47936849413726,9.227180908669233,0.269727609332,0.438349895583,0.258034841433
2024-01-08-09-38-39-920057,8,1oWzatxQ2Ba1uKr__2tYaA,2023-04,45.48345851794966,9.232911494205874,0.158549592041,0.349602845754,0.482389988214
2024-01-08-09-38-39-920057,47,2P_tE8ERXCVwA45Hx4xcTA,2017-10,45.47724749440929,9.235361608913605,0.650447469254,0.136095219989,0.164808968929
2024-01-08-09-38-39-920057,49,4LGmPvxFDkEjcUaMzaeURw,2023-04,45.47980664653291,9.235416524147999,0.463702153998,0.266629061748,0.253539172537
2024-01-08-09-38-39-920057,36,4MZz4GzBzkFxwt6tFH90EQ,2023-04,45.48001213795499,9.234353455331027,0.57181532602,0.323759294472,0.0745700803513
2024-01-08-09-38-39-920057,57,4oBDpThqZELDKasO58k2_w,2023-04,45.48209307629214,9.231359686919774,0.332258808486,0.129508213991,0.517072242473
2024-01-08-09-38-39-920057,64,555nOTDpITaQwdodPMbzzw,2023-04,45.48122309225943,9.231426611197605,0.306179001783,0.00154683225788,0.621695203408
2024-01-08-09-38-39-920057,15,5m61bQwgZP1aRYVHOYMLVQ,2022-08,45.4793606419556,9.2300016807746,0.61700190056,0.293994807291,0.067054925365
2024-01-08-09-38-39-920057,52,60eVA8JiWJH1J2LWt8LUKQ,2023-04,45.47976902776039,9.232959820920504,0.298049457117,0.562392630962,0.131903506795
2024-01-08-09-38-39-920057,23,7H2N8t6TvD8D0jYp8-QMiw,2023-04,45.47975751714023,9.223854666074649,0.210482532299,0.579187226431,0.197825822078
2024-01-08-09-38-39-920057,53,8pPOxV5lrkRhkZQM9zbpJw,2018-05,45.47928895831577,9.23164757128045,0.456811200476,0.417624398341,0.111698771294
2024-01-08-09-38-39-920057,19,AMqWuZkJASprjHT0HJ5O6Q,2023-04,45.47812744763689,9.225692919539465,0.773564714138,0.153747396592,0.0484424780892
2024-01-08-09-38-39-920057,22,AtLTD_JlyoNxF3cbUN7z6A,2023-04,45.47874640399438,9.223908283777119,0.379761175083,0.264774430903,0.342122579379
2024-01-08-09-38-39-920057,4,B1vjKQmUd9DDtAo9jhaL2A,2022-06,45.48122865135016,9.226524748900284,0.281696225551,0.475764548944,0.223920266092
2024-01-08-09-38-39-920057,31,bfZ3SSqIxvvaaAssrReT0w,2017-10,45.47754486790795,9.229056625147958,0.227184847993,0.0918151129136,0.668160573641
2024-01-08-09-38-39-920057,41,bTN1pJNJcE0sDiK6Si7Qmg,2023-04,45.47692897875368,9.231575942072627,0.429995056773,0.466419301728,0.0815460796283
2024-01-08-09-38-39-920057,12,CPTj2Rxsy1MfZRebYYi2qw,2023-04,45.48080903975281,9.233044326102068,0.464566545767,0.0596382241731,0.46214637546
2024-01-08-09-38-39-920057,66,cZiGjNUby5CZD03RuAKuKA,2023-04,45.48105314680022,9.226956223773664,0.383870519913,0.113338028959,0.490476802779
2024-01-08-09-38-39-920057,34,d1trudicPC_MgNvUYoegLg,2012-09,45.47901052010336,9.232094778921246,0.498605491389,0.360692027013,0.109782655407
2024-01-08-09-38-39-920057,60,dHm3irdOJjlnJ8cboGACtg,2023-04,45.48298240295959,9.235644515324033,0.531268705084,0.0748702497422,0.363618386053
2024-01-08-09-38-39-920057,58,Dx2mqJaZnu-GxgP6kBlaWg,2023-04,45.48229849565691,9.232846538564948,0.314763732636,0.0775487267814,0.592220901368
2024-01-08-09-38-39-920057,39,ehQcP9qftIeDI0eG3PlWtA,2023-04,45.47692861220337,9.23144220245675,0.350658603716,0.512557083475,0.110752451186
2024-01-08-09-38-39-920057,40,Eo59svnigq8uLzQInb77PQ,2023-04,45.47692489783697,9.230248924387258,0.454399615616,0.403151037742,0.131171473177
2024-01-08-09-38-39-920057,30,f0jTXbLBeacgs4UrLjs4RQ,2023-04,45.47690438285161,9.22759382831272,0.256163396823,0.680296665958,0.0513486155988
2024-01-08-09-38-39-920057,50,F3zA27cQV5sXGgYa3OvmWA,2022-06,45.48082490223789,9.235421870048771,0.51268567934,0.159495184121,0.316514304588
2024-01-08-09-38-39-920057,29,fW0bH10-AQlk7-j7ML6znA,2023-04,45.47689334729152,9.230034240533891,0.524223941295,0.383687178327,0.0768776237898
2024-01-08-09-38-39-920057,65,Fw0BjkoCLTQFRcSkpzRTUw,2023-04,45.48105695246904,9.22941596091101,0.475532775742,0.178300015372,0.330929240432
2024-01-08-09-38-39-920057,14,FXeSd_ouWm3S8OGvN1oS3A,2023-04,45.48026796173716,9.229989492258166,0.303833844942,0.598175308526,0.0835427865642
2024-01-08-09-38-39-920057,33,Gjlm22AMzvhjD3LKzTeKRg,2012-09,45.47852109587055,9.230991296528718,0.523937854869,0.381137819664,0.0710982118411
2024-01-08-09-38-39-920057,10,Gn3DclVq-UiDL5b_4l2yGQ,2023-04,45.48247790768147,9.234291092573688,0.35669610122,0.00228982414148,0.630716094483
2024-01-08-09-38-39-920057,7,H4rIdKf3-JoEOPKPwYHs-Q,2023-04,45.48290090050668,9.231317566628244,0.230996980924,0.327152710796,0.436267486358
2024-01-08-09-38-39-920057,18,hdmxR5FbRRrD9c1Umas-BA,2019-06,45.47923392849556,9.225766951672508,0.599214232652,0.0915804101569,0.281132749321
2024-01-08-09-38-39-920057,37,i5ZLTo5uzZ5qjdqM2nNVDw,2012-09,45.47910822035815,9.233337561546936,0.622202615246,0.190595590006,0.167455338159
2024-01-08-09-38-39-920057,13,i93A9xPpvN4iddSYOC6wdA,2023-04,45.48061998166797,9.23121443774782,0.379543488605,0.00736833119314,0.603175371994
2024-01-08-09-38-39-920057,63,iJDX-dcnlo-ppilsbBh8fw,2023-04,45.48175487358364,9.23196188970343,0.282624322373,0.0105261542336,0.692043969233
2024-01-08-09-38-39-920057,42,JA_Im3OTJgd4YLqN03R7ag,2023-04,45.47693856281864,9.232975956227184,0.302650447706,0.659989912802,0.0252466168231
2024-01-08-09-38-39-920057,59,JtTRX0ebK8EofgbsYji5PQ,2023-04,45.48269271555317,9.234291454469911,0.470578203352,0.00732214939019,0.511050569485
2024-01-08-09-38-39-920057,32,k8fG_hmwsLT4bJWJUnQtvQ,2023-04,45.47798577157694,9.230016945106758,0.169478621827,0.741249351207,0.0700281805894
2024-01-08-09-38-39-920057,38,M665R3Br-8bY3wPvj9JQtA,2012-09,45.47853557160584,9.232283005845119,0.526565580101,0.128950433076,0.325614583025
2024-01-08-09-38-39-920057,48,MbaUwgRVn1AtZmD9QXpg9g,2023-04,45.47878078305117,9.235425688441714,0.526494673577,0.415639977047,0.0316647492516
2024-01-08-09-38-39-920057,69,MT62ESzEolb9-AVppDjynQ,2012-09,45.47840034108978,9.228122621186596,0.18308027815,0.631478764599,0.172089142878
2024-01-08-09-38-39-920057,27,m_lbQafILO92bD-gTitR4w,2023-04,45.47913741407625,9.230013281527947,0.17478004157,0.778089723807,0.0264199469121
2024-01-08-09-38-39-920057,11,nN1L6nqG1SczJ1007WErZA,2023-04,45.48096392745252,9.234562176279399,0.324382817839,0.224854088724,0.433317155881
2024-01-08-09-38-39-920057,28,npfipLYXtKv65f-K6gKKhg,2023-04,45.47817582550363,9.230013957765653,0.181977004248,0.70735406277,0.0922844573796
2024-01-08-09-38-39-920057,0,P7mmqlrafFbEZanbCrQTyA,2023-04,45.47646901072392,9.226590311297477,0.352882129956,0.488607220662,0.15479532351
2024-01-08-09-38-39-920057,62,PQtbCPu70WmEF8S_vez7pQ,2023-04,45.48235931091098,9.233096233170636,0.30766429016,0.0124285649046,0.67241058282
2024-01-08-09-38-39-920057,1,qCwTWFOgqV0ezdw_Of7uRw,2020-11,45.47850370660172,9.225567424265614,0.56626790891,0.321611753814,0.0877508469323
2024-01-08-09-38-39-920057,25,R6OPjUvry27iQE1BxhMq4Q,2017-10,45.47939680000371,9.226919485370079,0.439672365628,0.135021865135,0.385223132824
2024-01-08-09-38-39-920057,20,S1kxexPrvkVpTPooBSHA-w,2022-06,45.47697231037193,9.225719510136852,0.450578217995,0.239633702974,0.291478281522
2024-01-08-09-38-39-920057,16,SJFzh9jTctcYfJ2e1rLmbQ,2023-04,45.4793698879262,9.228621827830493,0.467443743388,0.395766373095,0.109411255535
2024-01-08-09-38-39-920057,70,ssigOicJOqGhuH09zbnwHw,2023-04,45.47689953436011,9.2270636872543,0.359933827263,0.594898092836,0.024502521309
2024-01-08-09-38-39-920057,35,tIymuX7QFdPnxk3Dl74HWQ,2023-04,45.47942861832687,9.233194164697741,0.385303698192,0.146349741484,0.422082585435
2024-01-08-09-38-39-920057,9,V6PFJeijfw_zyzLuZXQdLw,2023-04,45.48389780481663,9.234278302445322,0.570991644546,0.0754649431573,0.329442164782
2024-01-08-09-38-39-920057,24,VDU4UvPIEr4ZJj00ujlxPA,2023-04,45.47948140278768,9.225328198432353,0.452872404875,0.0440407213902,0.476240256892
2024-01-08-09-38-39-920057,61,wm0XuflR4bbkrc3Pfd94_g,2023-04,45.48267147572827,9.234373528891904,0.465521963497,0.0090590878011,0.506563211874
2024-01-08-09-38-39-920057,46,wwOhmLZjCIyibeRbe4Wl3Q,2023-04,45.47853767458069,9.236624195148085,0.825063627796,0.11309613181,0.0386339265746
2024-01-08-09-38-39-920057,43,wZi9-uCsF3e_jFTJLg0-Jg,2023-04,45.47642383698822,9.234369110722417,0.636850818603,0.0715814776445,0.269687272272
2024-01-08-09-38-39-920057,67,w_KG040uyJiJd6uhMH98Bw,2017-10,45.48015539935061,9.227343620221493,0.209880930091,0.142280305799,0.595390076773
2024-01-08-09-38-39-920057,51,x5nNspu8FUuJlIiPexhj4w,2023-04,45.48028403108989,9.234210451782335,0.581835242315,0.26572506747,0.115752789729
2024-01-08-09-38-39-920057,26,X61KHVi3RvI1Q8KRdxCvpA,2023-04,45.47923283322832,9.228473732951866,0.511147733539,0.32159621089,0.149315275902
2024-01-08-09-38-39-920057,54,xbxdWbldZzhwr-SVaEo7sw,2023-04,45.47924260232375,9.230295775259655,0.280620456512,0.691144470139,0.0153235400927
2024-01-08-09-38-39-920057,55,XIGK77SSZtn9fBUButY_bQ,2023-04,45.48055382380134,9.22997244697749,0.182039955313,0.787414462062,0.0261075512958
2024-01-08-09-38-39-920057,56,xOwBfB73dmise4iRa5NV6g,2023-04,45.48189462324019,9.229926943111264,0.0269967628468,0.713575895899,0.245583120235
2024-01-08-09-38-39-920057,3,yedeEVAUs6ZRcakERqH4wQ,2023-04,45.48038424334551,9.224383832596027,0.189337320869,0.477400131869,0.324979724487
2024-01-08-09-38-39-920057,2,yHv7kHJAO1x5W3E2SmDSNQ,2023-04,45.47958905544888,9.225109199528491,0.482661301774,0.049902894581,0.418245026958
2024-01-08-09-38-39-920057,6,z1dNXdmv5U8Um5_L5XieFw,2020-09,45.48242009352761,9.229907522586068,0.318559187783,0.44749859649,0.218914205382
2024-01-08-09-38-39-920057,45,zlZFLlIB6BSAbl-x7Of1Cw,2023-04,45.47952687961612,9.235416553959215,0.394472186503,0.121118191948,0.478503452905
2024-01-08-09-38-39-920057,5,_WFEQW7_ZSXY64c-S-_GQw,2023-04,45.48177941882999,9.228067839467336,0.352340448108,0.158424796271,0.479248475901
2024-01-16-09-10-06-134930,175,-4gycd5FDot4mJOwO8Woog,2023-04,45.47275368633156,9.223225461239135,0.250072070133,0.692456207826,0.0465196484582
2024-01-16-09-10-06-134930,87,-breEsSuNmartTbGWWa3Bg,2023-04,45.48546754851446,9.229929574245848,0.105201745735,0.595748759355,0.281113552914
2024-01-16-09-10-06-134930,318,-GXHos4CyGDKjiWgptgaPQ,2023-04,45.46793404863678,9.222620060915807,0.582701648268,0.200582355986,0.16273031532
2024-01-16-09-10-06-134930,293,-H7Vx1Kk61DiQrCIYBEJ2w,2023-04,45.47089048606286,9.229056944390798,0.497452090378,0.0583560756775,0.42395888898
2024-01-16-09-10-06-134930,66,-jVSV8b---i732u6lhT7aw,2023-04,45.4815991931518,9.219372598926602,0.481547450764,0.00154599970061,0.499319998841
2024-01-16-09-10-06-134930,70,-L-mFRqa1EpWqJ89rok2vQ,2023-04,45.48104075292984,9.219382358240576,0.358868292797,0.00651745667801,0.631073281649
2024-01-16-09-10-06-134930,89,-psAXyUXqQtdfkHLODOu4w,2023-04,45.48281226332722,9.22996408451652,0.107457633873,0.666619410518,0.196729289268
2024-01-16-09-10-06-134930,29,0D4V47niTHLx_pKlZt4_ng,2023-04,45.48471908216366,9.22911914266082,0.387005317668,0.0458636116354,0.555737215096
2024-01-16-09-10-06-134930,149,0IeJegCHYCEleWW9DL0CRw,2023-04,45.4757385599687,9.219452135144905,0.440775044668,0.0446918819037,0.486613626526
2024-01-16-09-10-06-134930,238,0M5zFYa7e2UrxPmjMnvLOw,2023-04,45.47579153522125,9.234376019188714,0.548539652056,0.045837685651,0.370366079518
2024-01-16-09-10-06-134930,104,0YwJ_7I0ZtT5B3nH0DliJQ,2023-04,45.47788349962964,9.235440362089028,0.59210305636,0.174801173403,0.187350585283
2024-01-16-09-10-06-134930,297,0zOIOvxXcz3D4grdgkIdLw,2023-04,45.471372155043,9.225943965173826,0.454174724003,0.260531958587,0.282233361133
2024-01-16-09-10-06-134930,200,1c38jSw_eyGwlgprFlX4Iw,2023-04,45.47423363925413,9.224686218559194,0.419127499428,0.0138648980787,0.56135352339
2024-01-16-09-10-06-134930,126,1G4LgbL936jmVmF-_1flFg,2023-04,45.47912698065736,9.219405978238667,0.550210927918,0.152730025635,0.273666808409
2024-01-16-09-10-06-134930,181,1I3avMqQJrPtsXeb8VExMQ,2023-04,45.47344274155636,9.223982727185408,0.494428207184,0.367823912195,0.126866188086
2024-01-16-09-10-06-134930,173,1iBollcVlsCckiG3Zz42XA,2023-04,45.47275998298799,9.22135970719402,0.330670057996,0.445751697508,0.185575179876
2024-01-16-09-10-06-134930,225,1LHLhuKXahlB4m44_8zufw,2023-04,45.47266720420615,9.22664855287315,0.442653724577,0.420822298375,0.113330702803
2024-01-16-09-10-06-134930,270,1qdP4KFIHmiMr4us_kNNow,2023-04,45.4687532168869,9.23245411789061,0.333247957986,0.0157819220993,0.643257993559
2024-01-16-09-10-06-134930,302,1T0e-3kFSCG7EKHDW1y8Ww,2023-04,45.46999451851688,9.222538737147675,0.36092591703,0.0265318648806,0.606478179001
2024-01-16-09-10-06-134930,10,1v1_1V75j6W55mUQrEaVFA,2023-04,45.48551062103763,9.233289916664939,0.374871574951,0.148504047708,0.449594122135
2024-01-16-09-10-06-134930,220,23qAnKwgFgu9-m6ruX_jPw,2023-04,45.47264344647193,9.229749624697247,0.197334947943,0.57754946157,0.214472632849
2024-01-16-09-10-06-134930,17,25n5WLtk_p18r2Y_o1e50g,2023-04,45.48313043372594,9.234293299218916,0.35636111062,0.00130406790411,0.634636266569
2024-01-16-09-10-06-134930,141,26p61HGKO6ByfCigJor4BA,2023-04,45.47593075870464,9.219448456077817,0.415089335429,0.144406703482,0.407778436117
2024-01-16-09-10-06-134930,295,2jc1H8mYW5HTe4g2kI_S_w,2023-04,45.47147238237795,9.227400973957977,0.364043553953,0.00378958838488,0.625333638467
2024-01-16-09-10-06-134930,13,2qUYWt1a1MJ_Hm4vHkWG2Q,2023-04,45.48388654000826,9.236564091785683,0.3425648123,0.0108289720244,0.623275181879
2024-01-16-09-10-06-134930,3,2xhPUke674VgrdzBUhjcYw,2023-04,45.48602930450194,9.22275845697638,0.445646097635,0.00550274455936,0.530575433866
